,sample_number,capture_number,trunk_depth_m,reference_width_m,estimated_width_m,angle_deg,error_m,percent_error
0,1.0,1429.0,1.08,0.24,0.22420161003458738,-9.21960257384201,-0.015798389965412607,6.582662485588586
1,1.0,1428.0,2.01,0.24,0.24022998792542988,-9.452131489163264,0.00022998792542988644,0.09582830226245269
2,2.0,1430.0,1.98,0.22,0.16830837431577314,-7.8358283935317985,-0.05169162568422686,23.496193492830393
3,2.0,1431.0,1.1099999999999999,0.22,0.19010174198574095,-1.154399325789612,-0.02989825801425905,13.590117279208657
4,3.0,1432.0,1.92,0.32,0.29659878863339445,-1.983637623175042,-0.023401211366605557,7.3128785520642365
5,3.0,1433.0,1.1099999999999999,0.32,0.29299009992892544,-1.5404602174581186,-0.027009900071074566,8.440593772210802
6,4.0,1435.0,1.02,0.1,0.08306258640368436,-1.5656024297797302,-0.016937413596315648,16.937413596315647
7,4.0,1434.0,1.92,0.1,0.0916216270125168,-0.202879827291639,-0.008378372987483201,8.378372987483202
8,5.0,1437.0,1.1099999999999999,0.08,0.06875900739852801,-4.49657785203965,-0.011240992601471989,14.051240751839986
9,5.0,1436.0,0.57,0.08,0.0,341.54535446183286,-0.08,100.0
10,6.0,1448.0,1.98,0.15,0.15006492964726215,0.2784197141641016,6.492964726215189e-05,0.04328643150810126
11,6.0,1447.0,1.17,0.15,0.128845003515342,6.229468882009087,-0.02115499648465799,14.103330989771996
12,7.0,1450.0,1.92,0.16,0.25407533124341747,4.462011591654175,0.09407533124341746,58.797082027135914
13,7.0,1449.0,1.02,0.16,0.16619423491047897,-2.275733872054303,0.006194234910478963,3.8713968190493517
14,8.0,1452.0,1.7999999999999998,0.17,0.18728538408572926,3.4428606184415855,0.017285384085729244,10.167872991605437
15,8.0,1451.0,0.96,0.17,0.1643891332425394,-0.6378263725327571,-0.005610866757460614,3.3005098573297724
16,9.0,1454.0,2.04,0.26,0.2691874265298628,-1.1107733543598073,0.009187426529862819,3.5336255884087766
17,9.0,1453.0,1.17,0.26,0.2562547036709757,-1.4868787400640997,-0.003745296329024317,1.4404985880862757
18,10.0,1455.0,0.8099999999999999,0.08,0.07963746069669796,-2.1965086818711086,-0.0003625393033020452,0.4531741291275565
19,11.0,1457.0,0.96,0.33,0.31299690002017927,2.923743588234018,-0.017003099979820746,5.15245453933962
20,11.0,1458.0,1.7999999999999998,0.33,0.2787873127620346,4.586059126878794,-0.051212687237965404,15.51899613271679
21,12.0,1460.0,2.07,0.25,0.22661359210299256,-0.29803422942262614,-0.02338640789700744,9.354563158802975
22,12.0,1459.0,1.17,0.25,0.24960309807099332,-0.2854688834997603,-0.0003969019290066822,0.15876077160267288
23,13.0,1462.0,1.89,0.32,0.26043569143173334,-3.4711658848765268,-0.059564308568266666,18.613846427583333
24,13.0,1461.0,1.23,0.32,0.29492383342569306,-5.684171266551303,-0.025076166574306946,7.83630205447092
25,14.0,1463.0,1.05,0.11,0.12970760028103706,-1.0881136996441683,0.01970760028103706,17.91600025548824
26,14.0,1464.0,1.89,0.11,0.11155795351268166,-2.945940725904194,0.0015579535126816618,1.4163213751651471
