,sample_number,capture_number,trunk_depth_m,reference_width_m,estimated_width_m,angle_deg,error_m,percent_error
0,2.0,10.0,1.376,0.257,0.32854619053760037,-2.178326353871171,0.07154619053760036,27.838984644980684
1,2.0,11.0,1.554,0.257,0.3542667210128274,-4.166306593856731,0.0972667210128274,37.84697315674218
2,2.0,14.0,0.141,0.257,0.0,-3.8060381470262854,-0.257,100.0
3,2.0,15.0,0.141,0.257,0.0,0.25478495786130395,-0.257,100.0
4,2.0,12.0,0.151,0.257,0.0,8.218964156453296,-0.257,100.0
5,2.0,9.0,1.383,0.257,0.3263000474001087,-2.022176749515168,0.0693000474001087,26.964998988369143
6,3.0,20.0,0.533,0.282,0.0,105.45425111856355,-0.282,100.0
7,3.0,18.0,1.282,0.282,0.2592706556867499,-2.085357825584012,-0.022729344313250077,8.060051174911376
8,3.0,16.0,1.077,0.282,0.32349612942613465,-0.6083511168411917,0.041496129426134676,14.714939512813716
9,3.0,17.0,1.022,0.282,0.23239151848457903,-0.7701218004413874,-0.04960848151542094,17.591660111851397
10,3.0,19.0,1.281,0.282,0.262856586511714,-3.0154499662371563,-0.019143413488285965,6.788444499392186
11,3.0,21.0,0.538,0.282,0.0,107.3751386603391,-0.282,100.0
12,4.0,30.0,0.56,0.125,0.09130170552525518,3.055247037738127,-0.03369829447474482,26.958635579795853
13,4.0,31.0,0.537,0.125,0.06942812665643733,2.904346345326374,-0.05557187334356267,44.457498674850136
14,4.0,25.0,0.359,0.125,0.11210535710419532,3.8157596476602436,-0.012894642895804678,10.315714316643742
15,4.0,24.0,0.358,0.125,0.11273600636736247,3.2902203230129317,-0.012263993632637527,9.811194906110021
16,4.0,28.0,0.485,0.125,0.1297573351808903,4.633123501406331,0.004757335180890304,3.8058681447122433
17,4.0,26.0,0.49,0.125,0.11874317728079127,5.019915090543179,-0.0062568227192087295,5.005458175366984
18,4.0,27.0,0.5,0.125,0.1239539327868899,4.8573122249909915,-0.0010460672131100968,0.8368537704880774
19,4.0,29.0,0.553,0.125,0.08702281711758893,2.6788345877797894,-0.03797718288241107,30.381746305928857
20,5.0,36.0,0.511,0.111,0.0,75.84454681776768,-0.111,100.0
21,5.0,37.0,0.435,0.111,0.0,284.0696253234539,-0.111,100.0
22,5.0,35.0,0.422,0.111,0.021414886813910006,5.335406061276217,-0.08958511318609,80.70730917665766
23,5.0,32.0,0.4,0.111,0.0,-1.9845459818668303,-0.111,100.0
24,5.0,33.0,0.402,0.111,0.0,-1.6720077993878562,-0.111,100.0
25,5.0,34.0,0.35,0.111,0.0,259.01602970307624,-0.111,100.0
26,6.0,42.0,0.415,0.426,0.0,259.6486592211234,-0.426,100.0
27,6.0,43.0,0.448,0.426,0.0,-9.197345778074336,-0.426,100.0
28,6.0,44.0,0.408,0.426,0.006963445131782499,-9.31712682138162,-0.4190365548682175,98.36538846671773
29,6.0,41.0,0.465,0.426,0.0,3.6329465386505433,-0.426,100.0
30,6.0,40.0,0.487,0.426,0.0,-5.147084775986414,-0.426,100.0
31,6.0,38.0,1.414,0.426,0.49457722828039247,-5.653854415154697,0.06857722828039248,16.097940910890255
32,6.0,39.0,1.412,0.426,0.5135745882917673,-5.403193324614833,0.08757458829176729,20.557415091964153
